"","Date","Cancer group","Demographic","Statistic","Statistic2019WdAdj","nDiff","propChange","Breakdown"
"45",Jan 2019,"Melanoma","Emergency presentation",28,28,0,0,"Route to Diagnosis"
"46",Jan 2019,"Melanoma","GP referral",396,396,0,0,"Route to Diagnosis"
"47",Jan 2019,"Melanoma","Other",86,86,0,0,"Route to Diagnosis"
"48",Jan 2019,"Melanoma","TWW",535,535,0,0,"Route to Diagnosis"
"49",Jan 2019,"Oesophago-gastric","Emergency presentation",249,249,0,0,"Route to Diagnosis"
"50",Jan 2019,"Oesophago-gastric","GP referral",184,184,0,0,"Route to Diagnosis"
"51",Jan 2019,"Oesophago-gastric","Other",161,161,0,0,"Route to Diagnosis"
"52",Jan 2019,"Oesophago-gastric","TWW",499,499,0,0,"Route to Diagnosis"
"53",Jan 2019,"Prostate","Emergency presentation",234,234,0,0,"Route to Diagnosis"
"54",Jan 2019,"Prostate","GP referral",923,923,0,0,"Route to Diagnosis"
"55",Jan 2019,"Prostate","Other",311,311,0,0,"Route to Diagnosis"
"56",Jan 2019,"Prostate","TWW",2453,2453,0,0,"Route to Diagnosis"
"57",Jan 2019,"Unknown","Emergency presentation",222,222,0,0,"Route to Diagnosis"
"58",Jan 2019,"Unknown","GP referral",107,107,0,0,"Route to Diagnosis"
"59",Jan 2019,"Unknown","Other",80,80,0,0,"Route to Diagnosis"
"60",Jan 2019,"Unknown","TWW",91,91,0,0,"Route to Diagnosis"
"61",Jan 2019,"Upper GI excl OG","Emergency presentation",536,536,0,0,"Route to Diagnosis"
"62",Jan 2019,"Upper GI excl OG","GP referral",246,246,0,0,"Route to Diagnosis"
"63",Jan 2019,"Upper GI excl OG","Other",242,242,0,0,"Route to Diagnosis"
"64",Jan 2019,"Upper GI excl OG","TWW",332,332,0,0,"Route to Diagnosis"
"65",Jan 2019,"Urological excl prostate","Emergency presentation",339,339,0,0,"Route to Diagnosis"
"66",Jan 2019,"Urological excl prostate","GP referral",610,610,0,0,"Route to Diagnosis"
"67",Jan 2019,"Urological excl prostate","Other",283,283,0,0,"Route to Diagnosis"
"68",Jan 2019,"Urological excl prostate","TWW",697,697,0,0,"Route to Diagnosis"
"69",Feb 2019,"All sites combined","Emergency presentation",3843,3843,0,0,"Route to Diagnosis"
"70",Feb 2019,"All sites combined","GP referral",4751,4751,0,0,"Route to Diagnosis"
"71",Feb 2019,"All sites combined","Other",2691,2691,0,0,"Route to Diagnosis"
"72",Feb 2019,"All sites combined","Screening",1308,1308,0,0,"Route to Diagnosis"
"73",Feb 2019,"All sites combined","TWW",9677,9677,0,0,"Route to Diagnosis"
"74",Feb 2019,"Bone and soft tissue","Emergency presentation",21,21,0,0,"Route to Diagnosis"
"75",Feb 2019,"Bone and soft tissue","GP referral",66,66,0,0,"Route to Diagnosis"
"76",Feb 2019,"Bone and soft tissue","Other",53,53,0,0,"Route to Diagnosis"
"77",Feb 2019,"Bone and soft tissue","TWW",72,72,0,0,"Route to Diagnosis"
"78",Feb 2019,"Brain and CNS","Emergency presentation",160,160,0,0,"Route to Diagnosis"
"79",Feb 2019,"Brain and CNS","GP referral",80,80,0,0,"Route to Diagnosis"
"80",Feb 2019,"Brain and CNS","Other",132,132,0,0,"Route to Diagnosis"
"81",Feb 2019,"Brain and CNS","TWW",8,8,0,0,"Route to Diagnosis"
"82",Feb 2019,"Breast","Emergency presentation",113,113,0,0,"Route to Diagnosis"
"83",Feb 2019,"Breast","GP referral",208,208,0,0,"Route to Diagnosis"
"84",Feb 2019,"Breast","Other",150,150,0,0,"Route to Diagnosis"
"85",Feb 2019,"Breast","Screening",990,990,0,0,"Route to Diagnosis"
"86",Feb 2019,"Breast","TWW",1783,1783,0,0,"Route to Diagnosis"
"87",Feb 2019,"Colorectal","Emergency presentation",500,500,0,0,"Route to Diagnosis"
"88",Feb 2019,"Colorectal","GP referral",536,536,0,0,"Route to Diagnosis"
"89",Feb 2019,"Colorectal","Other",301,301,0,0,"Route to Diagnosis"
"90",Feb 2019,"Colorectal","Screening",254,254,0,0,"Route to Diagnosis"
"91",Feb 2019,"Colorectal","TWW",1074,1074,0,0,"Route to Diagnosis"
"92",Feb 2019,"Endocrine","Emergency presentation",32,32,0,0,"Route to Diagnosis"
"93",Feb 2019,"Endocrine","GP referral",99,99,0,0,"Route to Diagnosis"
"94",Feb 2019,"Endocrine","Other",36,36,0,0,"Route to Diagnosis"
"95",Feb 2019,"Endocrine","TWW",60,60,0,0,"Route to Diagnosis"
"96",Feb 2019,"Gynaecological","Emergency presentation",181,181,0,0,"Route to Diagnosis"
"97",Feb 2019,"Gynaecological","GP referral",295,295,0,0,"Route to Diagnosis"
"98",Feb 2019,"Gynaecological","Other",127,127,0,0,"Route to Diagnosis"
"99",Feb 2019,"Gynaecological","Screening",64,64,0,0,"Route to Diagnosis"
"100",Feb 2019,"Gynaecological","TWW",648,648,0,0,"Route to Diagnosis"
"101",Feb 2019,"Haematological","Emergency presentation",473,473,0,0,"Route to Diagnosis"
"102",Feb 2019,"Haematological","GP referral",498,498,0,0,"Route to Diagnosis"
"103",Feb 2019,"Haematological","Other",263,263,0,0,"Route to Diagnosis"
"104",Feb 2019,"Haematological","TWW",557,557,0,0,"Route to Diagnosis"
"105",Feb 2019,"Head and Neck","Emergency presentation",56,56,0,0,"Route to Diagnosis"
"106",Feb 2019,"Head and Neck","GP referral",174,174,0,0,"Route to Diagnosis"
"107",Feb 2019,"Head and Neck","Other",109,109,0,0,"Route to Diagnosis"
"108",Feb 2019,"Head and Neck","TWW",390,390,0,0,"Route to Diagnosis"
"109",Feb 2019,"Lung","Emergency presentation",950,950,0,0,"Route to Diagnosis"
"110",Feb 2019,"Lung","GP referral",635,635,0,0,"Route to Diagnosis"
"111",Feb 2019,"Lung","Other",535,535,0,0,"Route to Diagnosis"
"112",Feb 2019,"Lung","TWW",800,800,0,0,"Route to Diagnosis"
"113",Feb 2019,"Melanoma","Emergency presentation",31,31,0,0,"Route to Diagnosis"
"114",Feb 2019,"Melanoma","GP referral",284,284,0,0,"Route to Diagnosis"
"115",Feb 2019,"Melanoma","Other",79,79,0,0,"Route to Diagnosis"
"116",Feb 2019,"Melanoma","TWW",535,535,0,0,"Route to Diagnosis"
"117",Feb 2019,"Oesophago-gastric","Emergency presentation",165,165,0,0,"Route to Diagnosis"
"118",Feb 2019,"Oesophago-gastric","GP referral",165,165,0,0,"Route to Diagnosis"
"119",Feb 2019,"Oesophago-gastric","Other",131,131,0,0,"Route to Diagnosis"
"120",Feb 2019,"Oesophago-gastric","TWW",397,397,0,0,"Route to Diagnosis"
"121",Feb 2019,"Prostate","Emergency presentation",210,210,0,0,"Route to Diagnosis"
"122",Feb 2019,"Prostate","GP referral",874,874,0,0,"Route to Diagnosis"
"123",Feb 2019,"Prostate","Other",315,315,0,0,"Route to Diagnosis"
"124",Feb 2019,"Prostate","TWW",2277,2277,0,0,"Route to Diagnosis"
"125",Feb 2019,"Unknown","Emergency presentation",174,174,0,0,"Route to Diagnosis"
"126",Feb 2019,"Unknown","GP referral",82,82,0,0,"Route to Diagnosis"
"127",Feb 2019,"Unknown","Other",64,64,0,0,"Route to Diagnosis"
"128",Feb 2019,"Unknown","TWW",93,93,0,0,"Route to Diagnosis"
"129",Feb 2019,"Upper GI excl OG","Emergency presentation",483,483,0,0,"Route to Diagnosis"
"130",Feb 2019,"Upper GI excl OG","GP referral",276,276,0,0,"Route to Diagnosis"
"131",Feb 2019,"Upper GI excl OG","Other",170,170,0,0,"Route to Diagnosis"
"132",Feb 2019,"Upper GI excl OG","TWW",280,280,0,0,"Route to Diagnosis"
"133",Feb 2019,"Urological excl prostate","Emergency presentation",294,294,0,0,"Route to Diagnosis"
"134",Feb 2019,"Urological excl prostate","GP referral",479,479,0,0,"Route to Diagnosis"
"135",Feb 2019,"Urological excl prostate","Other",226,226,0,0,"Route to Diagnosis"
"136",Feb 2019,"Urological excl prostate","TWW",703,703,0,0,"Route to Diagnosis"
"137",Mar 2019,"All sites combined","Emergency presentation",4055,4055,0,0,"Route to Diagnosis"
"138",Mar 2019,"All sites combined","GP referral",5046,5046,0,0,"Route to Diagnosis"
"139",Mar 2019,"All sites combined","Other",2930,2930,0,0,"Route to Diagnosis"
"140",Mar 2019,"All sites combined","Screening",1428,1428,0,0,"Route to Diagnosis"
"141",Mar 2019,"All sites combined","TWW",9970,9970,0,0,"Route to Diagnosis"
"142",Mar 2019,"Bone and soft tissue","Emergency presentation",19,19,0,0,"Route to Diagnosis"
"143",Mar 2019,"Bone and soft tissue","GP referral",76,76,0,0,"Route to Diagnosis"
"144",Mar 2019,"Bone and soft tissue","Other",54,54,0,0,"Route to Diagnosis"
"145",Mar 2019,"Bone and soft tissue","TWW",80,80,0,0,"Route to Diagnosis"
"146",Mar 2019,"Brain and CNS","Emergency presentation",117,117,0,0,"Route to Diagnosis"
"147",Mar 2019,"Brain and CNS","GP referral",70,70,0,0,"Route to Diagnosis"
"148",Mar 2019,"Brain and CNS","Other",121,121,0,0,"Route to Diagnosis"
"149",Mar 2019,"Brain and CNS","TWW",8,8,0,0,"Route to Diagnosis"
"150",Mar 2019,"Breast","Emergency presentation",115,115,0,0,"Route to Diagnosis"
"151",Mar 2019,"Breast","GP referral",206,206,0,0,"Route to Diagnosis"
"152",Mar 2019,"Breast","Other",135,135,0,0,"Route to Diagnosis"
"153",Mar 2019,"Breast","Screening",1076,1076,0,0,"Route to Diagnosis"
"154",Mar 2019,"Breast","TWW",1987,1987,0,0,"Route to Diagnosis"
"155",Mar 2019,"Colorectal","Emergency presentation",570,570,0,0,"Route to Diagnosis"
"156",Mar 2019,"Colorectal","GP referral",529,529,0,0,"Route to Diagnosis"
"157",Mar 2019,"Colorectal","Other",293,293,0,0,"Route to Diagnosis"
"158",Mar 2019,"Colorectal","Screening",282,282,0,0,"Route to Diagnosis"
"159",Mar 2019,"Colorectal","TWW",1119,1119,0,0,"Route to Diagnosis"
"160",Mar 2019,"Endocrine","Emergency presentation",26,26,0,0,"Route to Diagnosis"
"161",Mar 2019,"Endocrine","GP referral",110,110,0,0,"Route to Diagnosis"
"162",Mar 2019,"Endocrine","Other",34,34,0,0,"Route to Diagnosis"
"163",Mar 2019,"Endocrine","TWW",53,53,0,0,"Route to Diagnosis"
"164",Mar 2019,"Gynaecological","Emergency presentation",224,224,0,0,"Route to Diagnosis"
"165",Mar 2019,"Gynaecological","GP referral",304,304,0,0,"Route to Diagnosis"
"166",Mar 2019,"Gynaecological","Other",161,161,0,0,"Route to Diagnosis"
"167",Mar 2019,"Gynaecological","Screening",70,70,0,0,"Route to Diagnosis"
"168",Mar 2019,"Gynaecological","TWW",648,648,0,0,"Route to Diagnosis"
"169",Mar 2019,"Haematological","Emergency presentation",469,469,0,0,"Route to Diagnosis"
"170",Mar 2019,"Haematological","GP referral",609,609,0,0,"Route to Diagnosis"
"171",Mar 2019,"Haematological","Other",295,295,0,0,"Route to Diagnosis"
"172",Mar 2019,"Haematological","TWW",585,585,0,0,"Route to Diagnosis"
"173",Mar 2019,"Head and Neck","Emergency presentation",59,59,0,0,"Route to Diagnosis"
"174",Mar 2019,"Head and Neck","GP referral",161,161,0,0,"Route to Diagnosis"
"175",Mar 2019,"Head and Neck","Other",113,113,0,0,"Route to Diagnosis"
"176",Mar 2019,"Head and Neck","TWW",450,450,0,0,"Route to Diagnosis"
"177",Mar 2019,"Lung","Emergency presentation",903,903,0,0,"Route to Diagnosis"
"178",Mar 2019,"Lung","GP referral",630,630,0,0,"Route to Diagnosis"
"179",Mar 2019,"Lung","Other",607,607,0,0,"Route to Diagnosis"
"180",Mar 2019,"Lung","TWW",822,822,0,0,"Route to Diagnosis"
"181",Mar 2019,"Melanoma","Emergency presentation",32,32,0,0,"Route to Diagnosis"
"182",Mar 2019,"Melanoma","GP referral",305,305,0,0,"Route to Diagnosis"
"183",Mar 2019,"Melanoma","Other",82,82,0,0,"Route to Diagnosis"
"184",Mar 2019,"Melanoma","TWW",611,611,0,0,"Route to Diagnosis"
"185",Mar 2019,"Oesophago-gastric","Emergency presentation",252,252,0,0,"Route to Diagnosis"
"186",Mar 2019,"Oesophago-gastric","GP referral",208,208,0,0,"Route to Diagnosis"
"187",Mar 2019,"Oesophago-gastric","Other",184,184,0,0,"Route to Diagnosis"
"188",Mar 2019,"Oesophago-gastric","TWW",416,416,0,0,"Route to Diagnosis"
"189",Mar 2019,"Prostate","Emergency presentation",246,246,0,0,"Route to Diagnosis"
"190",Mar 2019,"Prostate","GP referral",885,885,0,0,"Route to Diagnosis"
"191",Mar 2019,"Prostate","Other",307,307,0,0,"Route to Diagnosis"
"192",Mar 2019,"Prostate","TWW",2163,2163,0,0,"Route to Diagnosis"
"193",Mar 2019,"Unknown","Emergency presentation",204,204,0,0,"Route to Diagnosis"
"194",Mar 2019,"Unknown","GP referral",106,106,0,0,"Route to Diagnosis"
"195",Mar 2019,"Unknown","Other",84,84,0,0,"Route to Diagnosis"
"196",Mar 2019,"Unknown","TWW",87,87,0,0,"Route to Diagnosis"
"197",Mar 2019,"Upper GI excl OG","Emergency presentation",531,531,0,0,"Route to Diagnosis"
"198",Mar 2019,"Upper GI excl OG","GP referral",294,294,0,0,"Route to Diagnosis"
"199",Mar 2019,"Upper GI excl OG","Other",191,191,0,0,"Route to Diagnosis"
"200",Mar 2019,"Upper GI excl OG","TWW",267,267,0,0,"Route to Diagnosis"
"201",Mar 2019,"Urological excl prostate","Emergency presentation",288,288,0,0,"Route to Diagnosis"
"202",Mar 2019,"Urological excl prostate","GP referral",553,553,0,0,"Route to Diagnosis"
"203",Mar 2019,"Urological excl prostate","Other",269,269,0,0,"Route to Diagnosis"
"204",Mar 2019,"Urological excl prostate","TWW",674,674,0,0,"Route to Diagnosis"
"205",Apr 2019,"All sites combined","Emergency presentation",4041,4041,0,0,"Route to Diagnosis"
"206",Apr 2019,"All sites combined","GP referral",5035,5035,0,0,"Route to Diagnosis"
"207",Apr 2019,"All sites combined","Other",2889,2889,0,0,"Route to Diagnosis"
"208",Apr 2019,"All sites combined","Screening",1494,1494,0,0,"Route to Diagnosis"
"209",Apr 2019,"All sites combined","TWW",9944,9944,0,0,"Route to Diagnosis"
"210",Apr 2019,"Bone and soft tissue","Emergency presentation",30,30,0,0,"Route to Diagnosis"
"211",Apr 2019,"Bone and soft tissue","GP referral",63,63,0,0,"Route to Diagnosis"
"212",Apr 2019,"Bone and soft tissue","Other",50,50,0,0,"Route to Diagnosis"
"213",Apr 2019,"Bone and soft tissue","TWW",59,59,0,0,"Route to Diagnosis"
"214",Apr 2019,"Brain and CNS","Emergency presentation",114,114,0,0,"Route to Diagnosis"
"215",Apr 2019,"Brain and CNS","GP referral",85,85,0,0,"Route to Diagnosis"
"216",Apr 2019,"Brain and CNS","Other",159,159,0,0,"Route to Diagnosis"
"217",Apr 2019,"Brain and CNS","TWW",6,6,0,0,"Route to Diagnosis"
"218",Apr 2019,"Breast","Emergency presentation",103,103,0,0,"Route to Diagnosis"
"219",Apr 2019,"Breast","GP referral",228,228,0,0,"Route to Diagnosis"
"220",Apr 2019,"Breast","Other",149,149,0,0,"Route to Diagnosis"
"221",Apr 2019,"Breast","Screening",1138,1138,0,0,"Route to Diagnosis"
"222",Apr 2019,"Breast","TWW",1896,1896,0,0,"Route to Diagnosis"
"223",Apr 2019,"Colorectal","Emergency presentation",535,535,0,0,"Route to Diagnosis"
"224",Apr 2019,"Colorectal","GP referral",568,568,0,0,"Route to Diagnosis"
"225",Apr 2019,"Colorectal","Other",266,266,0,0,"Route to Diagnosis"
"226",Apr 2019,"Colorectal","Screening",265,265,0,0,"Route to Diagnosis"
"227",Apr 2019,"Colorectal","TWW",1114,1114,0,0,"Route to Diagnosis"
"228",Apr 2019,"Endocrine","Emergency presentation",33,33,0,0,"Route to Diagnosis"
"229",Apr 2019,"Endocrine","GP referral",112,112,0,0,"Route to Diagnosis"
"230",Apr 2019,"Endocrine","Other",44,44,0,0,"Route to Diagnosis"
"231",Apr 2019,"Endocrine","TWW",70,70,0,0,"Route to Diagnosis"
"232",Apr 2019,"Gynaecological","Emergency presentation",214,214,0,0,"Route to Diagnosis"
"233",Apr 2019,"Gynaecological","GP referral",345,345,0,0,"Route to Diagnosis"
"234",Apr 2019,"Gynaecological","Other",161,161,0,0,"Route to Diagnosis"
"235",Apr 2019,"Gynaecological","Screening",91,91,0,0,"Route to Diagnosis"
"236",Apr 2019,"Gynaecological","TWW",655,655,0,0,"Route to Diagnosis"
"237",Apr 2019,"Haematological","Emergency presentation",545,545,0,0,"Route to Diagnosis"
"238",Apr 2019,"Haematological","GP referral",551,551,0,0,"Route to Diagnosis"
"239",Apr 2019,"Haematological","Other",251,251,0,0,"Route to Diagnosis"
"240",Apr 2019,"Haematological","TWW",537,537,0,0,"Route to Diagnosis"
"241",Apr 2019,"Head and Neck","Emergency presentation",46,46,0,0,"Route to Diagnosis"
"242",Apr 2019,"Head and Neck","GP referral",143,143,0,0,"Route to Diagnosis"
"243",Apr 2019,"Head and Neck","Other",108,108,0,0,"Route to Diagnosis"
"244",Apr 2019,"Head and Neck","TWW",431,431,0,0,"Route to Diagnosis"
"245",Apr 2019,"Lung","Emergency presentation",968,968,0,0,"Route to Diagnosis"
"246",Apr 2019,"Lung","GP referral",637,637,0,0,"Route to Diagnosis"
"247",Apr 2019,"Lung","Other",600,600,0,0,"Route to Diagnosis"
"248",Apr 2019,"Lung","TWW",830,830,0,0,"Route to Diagnosis"
"249",Apr 2019,"Melanoma","Emergency presentation",26,26,0,0,"Route to Diagnosis"
"250",Apr 2019,"Melanoma","GP referral",348,348,0,0,"Route to Diagnosis"
"251",Apr 2019,"Melanoma","Other",90,90,0,0,"Route to Diagnosis"
"252",Apr 2019,"Melanoma","TWW",636,636,0,0,"Route to Diagnosis"
"253",Apr 2019,"Oesophago-gastric","Emergency presentation",192,192,0,0,"Route to Diagnosis"
"254",Apr 2019,"Oesophago-gastric","GP referral",178,178,0,0,"Route to Diagnosis"
"255",Apr 2019,"Oesophago-gastric","Other",163,163,0,0,"Route to Diagnosis"
"256",Apr 2019,"Oesophago-gastric","TWW",451,451,0,0,"Route to Diagnosis"
"257",Apr 2019,"Prostate","Emergency presentation",224,224,0,0,"Route to Diagnosis"
"258",Apr 2019,"Prostate","GP referral",902,902,0,0,"Route to Diagnosis"
"259",Apr 2019,"Prostate","Other",295,295,0,0,"Route to Diagnosis"
"260",Apr 2019,"Prostate","TWW",2223,2223,0,0,"Route to Diagnosis"
"261",Apr 2019,"Unknown","Emergency presentation",183,183,0,0,"Route to Diagnosis"
"262",Apr 2019,"Unknown","GP referral",107,107,0,0,"Route to Diagnosis"
"263",Apr 2019,"Unknown","Other",67,67,0,0,"Route to Diagnosis"
"264",Apr 2019,"Unknown","TWW",98,98,0,0,"Route to Diagnosis"
"265",Apr 2019,"Upper GI excl OG","Emergency presentation",507,507,0,0,"Route to Diagnosis"
"266",Apr 2019,"Upper GI excl OG","GP referral",262,262,0,0,"Route to Diagnosis"
"267",Apr 2019,"Upper GI excl OG","Other",204,204,0,0,"Route to Diagnosis"
"268",Apr 2019,"Upper GI excl OG","TWW",275,275,0,0,"Route to Diagnosis"
"269",Apr 2019,"Urological excl prostate","Emergency presentation",321,321,0,0,"Route to Diagnosis"
"270",Apr 2019,"Urological excl prostate","GP referral",506,506,0,0,"Route to Diagnosis"
"271",Apr 2019,"Urological excl prostate","Other",282,282,0,0,"Route to Diagnosis"
"272",Apr 2019,"Urological excl prostate","TWW",663,663,0,0,"Route to Diagnosis"
"273",May 2019,"All sites combined","Emergency presentation",4423,4423,0,0,"Route to Diagnosis"
"274",May 2019,"All sites combined","GP referral",5238,5238,0,0,"Route to Diagnosis"
"275",May 2019,"All sites combined","Other",3119,3119,0,0,"Route to Diagnosis"
"276",May 2019,"All sites combined","Screening",1499,1499,0,0,"Route to Diagnosis"
"277",May 2019,"All sites combined","TWW",10584,10584,0,0,"Route to Diagnosis"
"278",May 2019,"Bone and soft tissue","Emergency presentation",34,34,0,0,"Route to Diagnosis"
"279",May 2019,"Bone and soft tissue","GP referral",80,80,0,0,"Route to Diagnosis"
"280",May 2019,"Bone and soft tissue","Other",58,58,0,0,"Route to Diagnosis"
"281",May 2019,"Bone and soft tissue","TWW",63,63,0,0,"Route to Diagnosis"
"282",May 2019,"Brain and CNS","Emergency presentation",174,174,0,0,"Route to Diagnosis"
"283",May 2019,"Brain and CNS","GP referral",80,80,0,0,"Route to Diagnosis"
"284",May 2019,"Brain and CNS","Other",114,114,0,0,"Route to Diagnosis"
"285",May 2019,"Brain and CNS","TWW",5,5,0,0,"Route to Diagnosis"
"286",May 2019,"Breast","Emergency presentation",139,139,0,0,"Route to Diagnosis"
"287",May 2019,"Breast","GP referral",245,245,0,0,"Route to Diagnosis"
"288",May 2019,"Breast","Other",185,185,0,0,"Route to Diagnosis"
"289",May 2019,"Breast","Screening",1140,1140,0,0,"Route to Diagnosis"
"290",May 2019,"Breast","TWW",2128,2128,0,0,"Route to Diagnosis"
"291",May 2019,"Colorectal","Emergency presentation",570,570,0,0,"Route to Diagnosis"
"292",May 2019,"Colorectal","GP referral",606,606,0,0,"Route to Diagnosis"
"293",May 2019,"Colorectal","Other",369,369,0,0,"Route to Diagnosis"
"294",May 2019,"Colorectal","Screening",264,264,0,0,"Route to Diagnosis"
"295",May 2019,"Colorectal","TWW",1118,1118,0,0,"Route to Diagnosis"
"296",May 2019,"Endocrine","Emergency presentation",17,17,0,0,"Route to Diagnosis"
"297",May 2019,"Endocrine","GP referral",116,116,0,0,"Route to Diagnosis"
"298",May 2019,"Endocrine","Other",42,42,0,0,"Route to Diagnosis"
"299",May 2019,"Endocrine","TWW",80,80,0,0,"Route to Diagnosis"
"300",May 2019,"Gynaecological","Emergency presentation",216,216,0,0,"Route to Diagnosis"
"301",May 2019,"Gynaecological","GP referral",312,312,0,0,"Route to Diagnosis"
"302",May 2019,"Gynaecological","Other",160,160,0,0,"Route to Diagnosis"
"303",May 2019,"Gynaecological","Screening",95,95,0,0,"Route to Diagnosis"
"304",May 2019,"Gynaecological","TWW",699,699,0,0,"Route to Diagnosis"
"305",May 2019,"Haematological","Emergency presentation",578,578,0,0,"Route to Diagnosis"
"306",May 2019,"Haematological","GP referral",582,582,0,0,"Route to Diagnosis"
"307",May 2019,"Haematological","Other",302,302,0,0,"Route to Diagnosis"
"308",May 2019,"Haematological","TWW",620,620,0,0,"Route to Diagnosis"
"309",May 2019,"Head and Neck","Emergency presentation",76,76,0,0,"Route to Diagnosis"
"310",May 2019,"Head and Neck","GP referral",159,159,0,0,"Route to Diagnosis"
"311",May 2019,"Head and Neck","Other",137,137,0,0,"Route to Diagnosis"
"312",May 2019,"Head and Neck","TWW",473,473,0,0,"Route to Diagnosis"
"313",May 2019,"Lung","Emergency presentation",1007,1007,0,0,"Route to Diagnosis"
"314",May 2019,"Lung","GP referral",681,681,0,0,"Route to Diagnosis"
"315",May 2019,"Lung","Other",633,633,0,0,"Route to Diagnosis"
"316",May 2019,"Lung","TWW",908,908,0,0,"Route to Diagnosis"
"317",May 2019,"Melanoma","Emergency presentation",36,36,0,0,"Route to Diagnosis"
"318",May 2019,"Melanoma","GP referral",374,374,0,0,"Route to Diagnosis"
"319",May 2019,"Melanoma","Other",86,86,0,0,"Route to Diagnosis"
"320",May 2019,"Melanoma","TWW",729,729,0,0,"Route to Diagnosis"
"321",May 2019,"Oesophago-gastric","Emergency presentation",247,247,0,0,"Route to Diagnosis"
"322",May 2019,"Oesophago-gastric","GP referral",186,186,0,0,"Route to Diagnosis"
"323",May 2019,"Oesophago-gastric","Other",175,175,0,0,"Route to Diagnosis"
"324",May 2019,"Oesophago-gastric","TWW",433,433,0,0,"Route to Diagnosis"
"325",May 2019,"Prostate","Emergency presentation",248,248,0,0,"Route to Diagnosis"
"326",May 2019,"Prostate","GP referral",883,883,0,0,"Route to Diagnosis"
