Year,Month,Date,Cancer group,Metric,Breakdown,Demographic,Data completeness,Statistic
2018,January,Jan-18,Endocrine,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,105
2018,January,Jan-18,Endocrine,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,66
2018,January,Jan-18,Endocrine,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,67
2018,January,Jan-18,Gynaecological,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,178
2018,January,Jan-18,Gynaecological,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,315
2018,January,Jan-18,Gynaecological,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,197
2018,January,Jan-18,Gynaecological,New cancer diagnoses (observed),Route to Diagnosis,Screening,Complete,56
2018,January,Jan-18,Gynaecological,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,691
2018,January,Jan-18,Gynaecological,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,496
2018,January,Jan-18,Gynaecological,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,67
2018,January,Jan-18,Gynaecological,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,159
2018,January,Jan-18,Gynaecological,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,114
2018,January,Jan-18,Gynaecological,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,253
2018,January,Jan-18,Haematological,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,467
2018,January,Jan-18,Haematological,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,564
2018,January,Jan-18,Haematological,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,395
2018,January,Jan-18,Haematological,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,583
2018,January,Jan-18,Haematological,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,75
2018,January,Jan-18,Haematological,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,91
2018,January,Jan-18,Haematological,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,104
2018,January,Jan-18,Haematological,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,239
2018,January,Jan-18,Haematological,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,505
2018,January,Jan-18,Head and Neck,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,53
2018,January,Jan-18,Head and Neck,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,165
2018,January,Jan-18,Head and Neck,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,140
2018,January,Jan-18,Head and Neck,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,418
2018,January,Jan-18,Lung,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,947
2018,January,Jan-18,Lung,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,741
2018,January,Jan-18,Lung,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,630
2018,January,Jan-18,Lung,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,863
2018,January,Jan-18,Lung,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,534
2018,January,Jan-18,Lung,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,227
2018,January,Jan-18,Lung,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,630
2018,January,Jan-18,Lung,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,1256
2018,January,Jan-18,Lung,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,320
2018,January,Jan-18,Melanoma,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,12
2018,January,Jan-18,Melanoma,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,350
2018,January,Jan-18,Melanoma,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,142
2018,January,Jan-18,Melanoma,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,559
2018,January,Jan-18,Melanoma,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,421
2018,January,Jan-18,Melanoma,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,185
2018,January,Jan-18,Melanoma,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,32
2018,January,Jan-18,Melanoma,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,23
2018,January,Jan-18,Melanoma,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,402
2018,January,Jan-18,Oesophago-gastric,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,242
2018,January,Jan-18,Oesophago-gastric,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,176
2018,January,Jan-18,Oesophago-gastric,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,163
2018,January,Jan-18,Oesophago-gastric,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,473
2018,January,Jan-18,Oesophago-gastric,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,69
2018,January,Jan-18,Oesophago-gastric,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,170
2018,January,Jan-18,Oesophago-gastric,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,212
2018,January,Jan-18,Oesophago-gastric,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,337
2018,January,Jan-18,Oesophago-gastric,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,266
2018,January,Jan-18,Other malignant neoplasms,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,NA
2018,January,Jan-18,Other malignant neoplasms,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,NA
2018,January,Jan-18,Other malignant neoplasms,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,NA
2018,January,Jan-18,Other malignant neoplasms,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,NA
2018,January,Jan-18,Other malignant neoplasms,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,NA
2018,January,Jan-18,Other malignant neoplasms,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,NA
2018,January,Jan-18,Other malignant neoplasms,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,NA
2018,January,Jan-18,Other malignant neoplasms,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,NA
2018,January,Jan-18,Other malignant neoplasms,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,NA
2018,January,Jan-18,Prostate,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,235
2018,January,Jan-18,Prostate,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,665
2018,January,Jan-18,Prostate,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,552
2018,January,Jan-18,Prostate,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,2008
2018,January,Jan-18,Prostate,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,883
2018,January,Jan-18,Prostate,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,381
2018,January,Jan-18,Prostate,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,687
2018,January,Jan-18,Prostate,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,477
2018,January,Jan-18,Prostate,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,1032
2018,January,Jan-18,Unknown,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,204
2018,January,Jan-18,Unknown,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,91
2018,January,Jan-18,Unknown,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,95
2018,January,Jan-18,Unknown,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,100
2018,January,Jan-18,Upper GI excl OG,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,502
2018,January,Jan-18,Upper GI excl OG,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,288
2018,January,Jan-18,Upper GI excl OG,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,224
2018,January,Jan-18,Upper GI excl OG,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,265
2018,January,Jan-18,Upper GI excl OG,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,33
2018,January,Jan-18,Upper GI excl OG,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,52
2018,January,Jan-18,Upper GI excl OG,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,57
2018,January,Jan-18,Upper GI excl OG,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,180
2018,January,Jan-18,Upper GI excl OG,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,264
2018,January,Jan-18,Urological excl prostate,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,283
2018,January,Jan-18,Urological excl prostate,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,507
2018,January,Jan-18,Urological excl prostate,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,302
2018,January,Jan-18,Urological excl prostate,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,717
2018,January,Jan-18,Urological excl prostate,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,398
2018,January,Jan-18,Urological excl prostate,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,210
2018,January,Jan-18,Urological excl prostate,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,133
2018,January,Jan-18,Urological excl prostate,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,91
2018,January,Jan-18,Urological excl prostate,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,676
2018,February,Feb-18,All sites combined,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,3553
2018,February,Feb-18,All sites combined,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,4260
2018,February,Feb-18,All sites combined,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,3173
2018,February,Feb-18,All sites combined,New cancer diagnoses (observed),Route to Diagnosis,Screening,Complete,1230
2018,February,Feb-18,All sites combined,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,8770
2018,February,Feb-18,All sites combined,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,3914
2018,February,Feb-18,All sites combined,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,2673
2018,February,Feb-18,All sites combined,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,2663
2018,February,Feb-18,All sites combined,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,2763
2018,February,Feb-18,All sites combined,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,4748
2018,February,Feb-18,Bone and soft tissue,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,24
2018,February,Feb-18,Bone and soft tissue,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,79
2018,February,Feb-18,Bone and soft tissue,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,57
2018,February,Feb-18,Bone and soft tissue,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,54
2018,February,Feb-18,Brain and CNS,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,156
2018,February,Feb-18,Brain and CNS,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,79
2018,February,Feb-18,Brain and CNS,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,115
2018,February,Feb-18,Brain and CNS,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,8
2018,February,Feb-18,Breast,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,88
2018,February,Feb-18,Breast,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,152
2018,February,Feb-18,Breast,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,169
2018,February,Feb-18,Breast,New cancer diagnoses (observed),Route to Diagnosis,Screening,Complete,957
2018,February,Feb-18,Breast,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,1702
2018,February,Feb-18,Breast,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,922
2018,February,Feb-18,Breast,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,962
2018,February,Feb-18,Breast,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,224
2018,February,Feb-18,Breast,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,89
2018,February,Feb-18,Breast,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,871
2018,February,Feb-18,Colorectal,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,522
2018,February,Feb-18,Colorectal,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,469
2018,February,Feb-18,Colorectal,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,351
2018,February,Feb-18,Colorectal,New cancer diagnoses (observed),Route to Diagnosis,Screening,Complete,223
2018,February,Feb-18,Colorectal,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,1014
2018,February,Feb-18,Colorectal,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,386
2018,February,Feb-18,Colorectal,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,540
2018,February,Feb-18,Colorectal,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,623
2018,February,Feb-18,Colorectal,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,415
2018,February,Feb-18,Colorectal,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,533
2018,February,Feb-18,Endocrine,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,16
2018,February,Feb-18,Endocrine,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,79
2018,February,Feb-18,Endocrine,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,49
2018,February,Feb-18,Endocrine,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,44
2018,February,Feb-18,Gynaecological,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,160
2018,February,Feb-18,Gynaecological,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,259
2018,February,Feb-18,Gynaecological,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,190
2018,February,Feb-18,Gynaecological,New cancer diagnoses (observed),Route to Diagnosis,Screening,Complete,50
2018,February,Feb-18,Gynaecological,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,586
2018,February,Feb-18,Gynaecological,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,404
2018,February,Feb-18,Gynaecological,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,53
2018,February,Feb-18,Gynaecological,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,146
2018,February,Feb-18,Gynaecological,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,95
2018,February,Feb-18,Gynaecological,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,217
2018,February,Feb-18,Haematological,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,419
2018,February,Feb-18,Haematological,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,542
2018,February,Feb-18,Haematological,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,303
2018,February,Feb-18,Haematological,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,508
2018,February,Feb-18,Haematological,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,73
2018,February,Feb-18,Haematological,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,66
2018,February,Feb-18,Haematological,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,95
2018,February,Feb-18,Haematological,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,204
2018,February,Feb-18,Haematological,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,446
2018,February,Feb-18,Head and Neck,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,43
2018,February,Feb-18,Head and Neck,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,154
2018,February,Feb-18,Head and Neck,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,115
2018,February,Feb-18,Head and Neck,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,375
2018,February,Feb-18,Lung,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,858
2018,February,Feb-18,Lung,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,613
2018,February,Feb-18,Lung,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,528
2018,February,Feb-18,Lung,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,755
2018,February,Feb-18,Lung,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,492
2018,February,Feb-18,Lung,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,224
2018,February,Feb-18,Lung,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,501
2018,February,Feb-18,Lung,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,1059
2018,February,Feb-18,Lung,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,290
2018,February,Feb-18,Melanoma,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,28
2018,February,Feb-18,Melanoma,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,247
2018,February,Feb-18,Melanoma,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,140
2018,February,Feb-18,Melanoma,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,548
2018,February,Feb-18,Melanoma,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,391
2018,February,Feb-18,Melanoma,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,152
2018,February,Feb-18,Melanoma,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,26
2018,February,Feb-18,Melanoma,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,12
2018,February,Feb-18,Melanoma,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,382
2018,February,Feb-18,Oesophago-gastric,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,192
2018,February,Feb-18,Oesophago-gastric,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,173
2018,February,Feb-18,Oesophago-gastric,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,168
2018,February,Feb-18,Oesophago-gastric,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,370
2018,February,Feb-18,Oesophago-gastric,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,47
2018,February,Feb-18,Oesophago-gastric,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,156
2018,February,Feb-18,Oesophago-gastric,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,193
2018,February,Feb-18,Oesophago-gastric,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,257
2018,February,Feb-18,Oesophago-gastric,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,250
2018,February,Feb-18,Other malignant neoplasms,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,NA
2018,February,Feb-18,Other malignant neoplasms,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,NA
2018,February,Feb-18,Other malignant neoplasms,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,NA
2018,February,Feb-18,Other malignant neoplasms,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,NA
2018,February,Feb-18,Other malignant neoplasms,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,NA
2018,February,Feb-18,Other malignant neoplasms,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,NA
2018,February,Feb-18,Other malignant neoplasms,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,NA
2018,February,Feb-18,Other malignant neoplasms,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,NA
2018,February,Feb-18,Other malignant neoplasms,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,NA
2018,February,Feb-18,Prostate,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,193
2018,February,Feb-18,Prostate,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,698
2018,February,Feb-18,Prostate,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,408
2018,February,Feb-18,Prostate,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,1780
2018,February,Feb-18,Prostate,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,808
2018,February,Feb-18,Prostate,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,289
2018,February,Feb-18,Prostate,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,639
2018,February,Feb-18,Prostate,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,425
2018,February,Feb-18,Prostate,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,918
2018,February,Feb-18,Unknown,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,174
2018,February,Feb-18,Unknown,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,90
2018,February,Feb-18,Unknown,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,87
2018,February,Feb-18,Unknown,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,79
2018,February,Feb-18,Upper GI excl OG,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,422
2018,February,Feb-18,Upper GI excl OG,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,210
2018,February,Feb-18,Upper GI excl OG,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,203
2018,February,Feb-18,Upper GI excl OG,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,242
2018,February,Feb-18,Upper GI excl OG,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,26
2018,February,Feb-18,Upper GI excl OG,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,62
2018,February,Feb-18,Upper GI excl OG,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,57
2018,February,Feb-18,Upper GI excl OG,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,147
2018,February,Feb-18,Upper GI excl OG,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,237
2018,February,Feb-18,Urological excl prostate,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,258
2018,February,Feb-18,Urological excl prostate,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,416
2018,February,Feb-18,Urological excl prostate,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,290
2018,February,Feb-18,Urological excl prostate,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,705
2018,February,Feb-18,Urological excl prostate,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,365
2018,February,Feb-18,Urological excl prostate,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,169
2018,February,Feb-18,Urological excl prostate,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,159
2018,February,Feb-18,Urological excl prostate,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,60
2018,February,Feb-18,Urological excl prostate,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,604
2018,March,Mar-18,All sites combined,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,3909
