"","Date","Cancer group","Metric","Breakdown","Demographic","new","old","ndiff_newOld","propchange_newOld"
"20",Jan 2019,"Cervical","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",33,NA,NA,NA
"21",Jan 2019,"Cervical","New cancer diagnoses (observed)","Route to Diagnosis","Other",18,NA,NA,NA
"22",Jan 2019,"Cervical","New cancer diagnoses (observed)","Route to Diagnosis","TWW",63,NA,NA,NA
"23",Jan 2019,"Colorectal","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",695,642,53,0.08
"24",Jan 2019,"Colorectal","New cancer diagnoses (observed)","Route to Diagnosis","Other",349,343,6,0.02
"25",Jan 2019,"Colorectal","New cancer diagnoses (observed)","Route to Diagnosis","TWW",1065,1064,1,0
"26",Jan 2019,"Colorectal","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",479,478,1,0
"27",Jan 2019,"Colorectal","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",714,714,0,0
"28",Jan 2019,"Colorectal","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",548,488,60,0.12
"29",Jan 2019,"Endocrine","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",29,26,3,0.12
"30",Jan 2019,"Endocrine","New cancer diagnoses (observed)","Route to Diagnosis","Other",48,47,1,0.02
"31",Jan 2019,"Gynaecological","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",246,225,21,0.09
"32",Jan 2019,"Gynaecological","New cancer diagnoses (observed)","Route to Diagnosis","Other",165,162,3,0.02
"33",Jan 2019,"Gynaecological","New cancer diagnoses (observed)","Route to Diagnosis","TWW",679,677,2,0
"34",Jan 2019,"Gynaecological","New cancer diagnoses (observed)","Stage at diagnosis","Stage 2",63,63,0,0
"35",Jan 2019,"Gynaecological","New cancer diagnoses (observed)","Stage at diagnosis","Stage 4",111,111,0,0
"36",Jan 2019,"Haematological","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",617,598,19,0.03
"37",Jan 2019,"Haematological","New cancer diagnoses (observed)","Route to Diagnosis","TWW",622,620,2,0
"38",Jan 2019,"Haematological","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",88,88,0,0
"39",Jan 2019,"Haematological","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",121,121,0,0
"40",Jan 2019,"Haematological","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",525,504,21,0.04
"41",Jan 2019,"Head and Neck","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",62,55,7,0.13
"42",Jan 2019,"Head and Neck","New cancer diagnoses (observed)","Route to Diagnosis","Other",159,156,3,0.02
"43",Jan 2019,"Hodgkin lymphoma","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",36,NA,NA,NA
"44",Jan 2019,"Hodgkin lymphoma","New cancer diagnoses (observed)","Route to Diagnosis","TWW",65,NA,NA,NA
"45",Jan 2019,"Hodgkin lymphoma","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",10,NA,NA,NA
"46",Jan 2019,"Hodgkin lymphoma","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",25,NA,NA,NA
"47",Jan 2019,"Hodgkin lymphoma","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",64,NA,NA,NA
"48",Jan 2019,"Kidney","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",188,NA,NA,NA
"49",Jan 2019,"Kidney","New cancer diagnoses (observed)","Route to Diagnosis","Other",143,NA,NA,NA
"50",Jan 2019,"Kidney","New cancer diagnoses (observed)","Stage at diagnosis","Stage 2",53,NA,NA,NA
"51",Jan 2019,"Kidney","New cancer diagnoses (observed)","Stage at diagnosis","Stage 4",92,NA,NA,NA
"52",Jan 2019,"Lip, oral cavity and pharynx","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",104,NA,NA,NA
"53",Jan 2019,"Lip, oral cavity and pharynx","New cancer diagnoses (observed)","Route to Diagnosis","TWW",341,NA,NA,NA
"54",Jan 2019,"Liver","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",82,NA,NA,NA
"55",Jan 2019,"Liver","New cancer diagnoses (observed)","Route to Diagnosis","TWW",84,NA,NA,NA
"56",Jan 2019,"Lung","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",758,747,11,0.01
"57",Jan 2019,"Lung","New cancer diagnoses (observed)","Route to Diagnosis","TWW",835,835,0,0
"58",Jan 2019,"Lung","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",574,574,0,0
"59",Jan 2019,"Lung","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",623,622,1,0
"60",Jan 2019,"Lung","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",345,246,99,0.4
"61",Jan 2019,"Lymphoid leukaemia","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",68,NA,NA,NA
"62",Jan 2019,"Lymphoid leukaemia","New cancer diagnoses (observed)","Route to Diagnosis","Other",52,NA,NA,NA
"63",Jan 2019,"Melanoma","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",31,28,3,0.11
"64",Jan 2019,"Melanoma","New cancer diagnoses (observed)","Route to Diagnosis","Other",89,86,3,0.03
"65",Jan 2019,"Melanoma","New cancer diagnoses (observed)","Stage at diagnosis","Stage 2",201,201,0,0
"66",Jan 2019,"Melanoma","New cancer diagnoses (observed)","Stage at diagnosis","Stage 4",19,19,0,0
"67",Jan 2019,"Multiple myeloma","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",104,NA,NA,NA
"68",Jan 2019,"Multiple myeloma","New cancer diagnoses (observed)","Route to Diagnosis","TWW",136,NA,NA,NA
"69",Jan 2019,"Myeloid leukaemia","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",68,NA,NA,NA
"70",Jan 2019,"Myeloid leukaemia","New cancer diagnoses (observed)","Route to Diagnosis","TWW",19,NA,NA,NA
"71",Jan 2019,"Nasal cavity, sinuses and larynx","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",59,NA,NA,NA
"72",Jan 2019,"Nasal cavity, sinuses and larynx","New cancer diagnoses (observed)","Route to Diagnosis","TWW",83,NA,NA,NA
"73",Jan 2019,"Non-Hodgkin lymphoma","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",198,NA,NA,NA
"74",Jan 2019,"Non-Hodgkin lymphoma","New cancer diagnoses (observed)","Route to Diagnosis","TWW",273,NA,NA,NA
"75",Jan 2019,"Non-Hodgkin lymphoma","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",69,NA,NA,NA
"76",Jan 2019,"Non-Hodgkin lymphoma","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",93,NA,NA,NA
"77",Jan 2019,"Non-Hodgkin lymphoma","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",406,NA,NA,NA
"78",Jan 2019,"Oesophageal","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",159,NA,NA,NA
"79",Jan 2019,"Oesophageal","New cancer diagnoses (observed)","Route to Diagnosis","Other",119,NA,NA,NA
"80",Jan 2019,"Oesophageal","New cancer diagnoses (observed)","Stage at diagnosis","Stage 2",108,NA,NA,NA
"81",Jan 2019,"Oesophageal","New cancer diagnoses (observed)","Stage at diagnosis","Stage 4",234,NA,NA,NA
"82",Jan 2019,"Oesophago-gastric","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",193,184,9,0.05
"83",Jan 2019,"Oesophago-gastric","New cancer diagnoses (observed)","Route to Diagnosis","TWW",500,499,1,0
"84",Jan 2019,"Oesophago-gastric","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",61,61,0,0
"85",Jan 2019,"Oesophago-gastric","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",256,256,0,0
"86",Jan 2019,"Oesophago-gastric","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",325,278,47,0.17
"87",Jan 2019,"Other malignant neoplasms","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",NA,NA,NA,NA
"88",Jan 2019,"Other malignant neoplasms","New cancer diagnoses (observed)","Route to Diagnosis","Other",NA,NA,NA,NA
"89",Jan 2019,"Other malignant neoplasms","New cancer diagnoses (observed)","Stage at diagnosis","Stage 2",NA,NA,NA,NA
"90",Jan 2019,"Other malignant neoplasms","New cancer diagnoses (observed)","Stage at diagnosis","Stage 4",NA,NA,NA,NA
"91",Jan 2019,"Ovarian","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",101,NA,NA,NA
"92",Jan 2019,"Ovarian","New cancer diagnoses (observed)","Route to Diagnosis","TWW",163,NA,NA,NA
"93",Jan 2019,"Ovarian","New cancer diagnoses (observed)","Stage at diagnosis","Stage 2",20,NA,NA,NA
"94",Jan 2019,"Ovarian","New cancer diagnoses (observed)","Stage at diagnosis","Stage 4",65,NA,NA,NA
"95",Jan 2019,"Pancreatic","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",121,NA,NA,NA
"96",Jan 2019,"Pancreatic","New cancer diagnoses (observed)","Route to Diagnosis","TWW",183,NA,NA,NA
"97",Jan 2019,"Pancreatic","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",37,NA,NA,NA
"98",Jan 2019,"Pancreatic","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",89,NA,NA,NA
"99",Jan 2019,"Pancreatic","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",299,NA,NA,NA
"100",Jan 2019,"Prostate","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",250,234,16,0.07
"101",Jan 2019,"Prostate","New cancer diagnoses (observed)","Route to Diagnosis","Other",310,311,-1,0
"102",Jan 2019,"Prostate","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",1046,1047,-1,0
"103",Jan 2019,"Prostate","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",851,851,0,0
"104",Jan 2019,"Prostate","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",1062,1044,18,0.02
"105",Jan 2019,"Stomach","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",121,NA,NA,NA
"106",Jan 2019,"Stomach","New cancer diagnoses (observed)","Route to Diagnosis","Other",48,NA,NA,NA
"107",Jan 2019,"Stomach","New cancer diagnoses (observed)","Stage at diagnosis","Stage 2",49,NA,NA,NA
"108",Jan 2019,"Stomach","New cancer diagnoses (observed)","Stage at diagnosis","Stage 4",107,NA,NA,NA
"109",Jan 2019,"Testicular","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",29,NA,NA,NA
"110",Jan 2019,"Testicular","New cancer diagnoses (observed)","Route to Diagnosis","TWW",85,NA,NA,NA
"111",Jan 2019,"Unknown","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",198,222,-24,-0.11
"112",Jan 2019,"Unknown","New cancer diagnoses (observed)","Route to Diagnosis","Other",73,80,-7,-0.09
"113",Jan 2019,"Upper GI excl OG","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",625,536,89,0.17
"114",Jan 2019,"Upper GI excl OG","New cancer diagnoses (observed)","Route to Diagnosis","Other",254,242,12,0.05
"115",Jan 2019,"Upper GI excl OG","New cancer diagnoses (observed)","Stage at diagnosis","Stage 2",53,53,0,0
"116",Jan 2019,"Upper GI excl OG","New cancer diagnoses (observed)","Stage at diagnosis","Stage 4",225,223,2,0.01
"117",Jan 2019,"Urological excl prostate","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",615,610,5,0.01
"118",Jan 2019,"Urological excl prostate","New cancer diagnoses (observed)","Route to Diagnosis","TWW",696,697,-1,0
"119",Jan 2019,"Urological excl prostate","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",458,458,0,0
"120",Jan 2019,"Urological excl prostate","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",188,188,0,0
"121",Jan 2019,"Urological excl prostate","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",705,669,36,0.05
"122",Jan 2019,"Uterine","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",69,NA,NA,NA
"123",Jan 2019,"Uterine","New cancer diagnoses (observed)","Route to Diagnosis","Other",62,NA,NA,NA
"124",Jan 2019,"Uterine","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",385,NA,NA,NA
"125",Jan 2019,"Uterine","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",73,NA,NA,NA
"126",Jan 2019,"Uterine","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",116,NA,NA,NA
"127",Feb 2019,"All sites combined","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",4233,3843,390,0.1
"128",Feb 2019,"All sites combined","New cancer diagnoses (observed)","Route to Diagnosis","Other",2730,2691,39,0.01
"129",Feb 2019,"All sites combined","New cancer diagnoses (observed)","Route to Diagnosis","TWW",9678,9677,1,0
"130",Feb 2019,"All sites combined","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",4442,4439,3,0
"131",Feb 2019,"All sites combined","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",3081,3083,-2,0
"132",Feb 2019,"All sites combined","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",4714,4382,332,0.08
"133",Feb 2019,"Bladder","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",126,NA,NA,NA
"134",Feb 2019,"Bladder","New cancer diagnoses (observed)","Route to Diagnosis","Other",61,NA,NA,NA
"135",Feb 2019,"Bladder","New cancer diagnoses (observed)","Stage at diagnosis","Stage 2",136,NA,NA,NA
"136",Feb 2019,"Bladder","New cancer diagnoses (observed)","Stage at diagnosis","Stage 4",31,NA,NA,NA
"137",Feb 2019,"Bone and soft tissue","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",67,66,1,0.02
"138",Feb 2019,"Bone and soft tissue","New cancer diagnoses (observed)","Route to Diagnosis","TWW",72,72,0,0
"139",Feb 2019,"Brain and CNS","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",81,80,1,0.01
"140",Feb 2019,"Brain and CNS","New cancer diagnoses (observed)","Route to Diagnosis","TWW",8,8,0,0
"141",Feb 2019,"Breast","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",210,208,2,0.01
"142",Feb 2019,"Breast","New cancer diagnoses (observed)","Route to Diagnosis","Screening",989,990,-1,0
"143",Feb 2019,"Breast","New cancer diagnoses (observed)","Stage at diagnosis","Stage 2",1071,1070,1,0
"144",Feb 2019,"Breast","New cancer diagnoses (observed)","Stage at diagnosis","Stage 4",90,89,1,0.01
"145",Feb 2019,"Cervical","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",29,NA,NA,NA
"146",Feb 2019,"Cervical","New cancer diagnoses (observed)","Route to Diagnosis","Screening",64,NA,NA,NA
"147",Feb 2019,"Colorectal","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",538,536,2,0
"148",Feb 2019,"Colorectal","New cancer diagnoses (observed)","Route to Diagnosis","Screening",254,254,0,0
"149",Feb 2019,"Colorectal","New cancer diagnoses (observed)","Stage at diagnosis","Stage 2",591,590,1,0
"150",Feb 2019,"Colorectal","New cancer diagnoses (observed)","Stage at diagnosis","Stage 4",407,406,1,0
"151",Feb 2019,"Endocrine","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",100,99,1,0.01
"152",Feb 2019,"Endocrine","New cancer diagnoses (observed)","Route to Diagnosis","TWW",60,60,0,0
"153",Feb 2019,"Gynaecological","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",299,295,4,0.01
"154",Feb 2019,"Gynaecological","New cancer diagnoses (observed)","Route to Diagnosis","Screening",64,64,0,0
"155",Feb 2019,"Gynaecological","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",501,501,0,0
"156",Feb 2019,"Gynaecological","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",148,148,0,0
"157",Feb 2019,"Gynaecological","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",226,198,28,0.14
"158",Feb 2019,"Haematological","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",528,473,55,0.12
"159",Feb 2019,"Haematological","New cancer diagnoses (observed)","Route to Diagnosis","Other",276,263,13,0.05
"160",Feb 2019,"Haematological","New cancer diagnoses (observed)","Stage at diagnosis","Stage 2",79,79,0,0
"161",Feb 2019,"Haematological","New cancer diagnoses (observed)","Stage at diagnosis","Stage 4",197,197,0,0
"162",Feb 2019,"Head and Neck","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",175,174,1,0.01
"163",Feb 2019,"Head and Neck","New cancer diagnoses (observed)","Route to Diagnosis","TWW",390,390,0,0
"164",Feb 2019,"Hodgkin lymphoma","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",30,NA,NA,NA
"165",Feb 2019,"Hodgkin lymphoma","New cancer diagnoses (observed)","Route to Diagnosis","TWW",70,NA,NA,NA
"166",Feb 2019,"Hodgkin lymphoma","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",10,NA,NA,NA
"167",Feb 2019,"Hodgkin lymphoma","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",17,NA,NA,NA
"168",Feb 2019,"Hodgkin lymphoma","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",73,NA,NA,NA
"169",Feb 2019,"Kidney","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",160,NA,NA,NA
"170",Feb 2019,"Kidney","New cancer diagnoses (observed)","Route to Diagnosis","Other",123,NA,NA,NA
"171",Feb 2019,"Kidney","New cancer diagnoses (observed)","Stage at diagnosis","Stage 2",36,NA,NA,NA
"172",Feb 2019,"Kidney","New cancer diagnoses (observed)","Stage at diagnosis","Stage 4",68,NA,NA,NA
"173",Feb 2019,"Lip, oral cavity and pharynx","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",120,NA,NA,NA
"174",Feb 2019,"Lip, oral cavity and pharynx","New cancer diagnoses (observed)","Route to Diagnosis","TWW",322,NA,NA,NA
"175",Feb 2019,"Liver","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",104,NA,NA,NA
"176",Feb 2019,"Liver","New cancer diagnoses (observed)","Route to Diagnosis","TWW",75,NA,NA,NA
"177",Feb 2019,"Lung","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",642,635,7,0.01
"178",Feb 2019,"Lung","New cancer diagnoses (observed)","Route to Diagnosis","TWW",800,800,0,0
"179",Feb 2019,"Lung","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",467,467,0,0
"180",Feb 2019,"Lung","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",604,604,0,0
"181",Feb 2019,"Lung","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",338,256,82,0.32
"182",Feb 2019,"Lymphoid leukaemia","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",59,NA,NA,NA
"183",Feb 2019,"Lymphoid leukaemia","New cancer diagnoses (observed)","Route to Diagnosis","Other",38,NA,NA,NA
"184",Feb 2019,"Melanoma","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",35,31,4,0.13
"185",Feb 2019,"Melanoma","New cancer diagnoses (observed)","Route to Diagnosis","Other",79,79,0,0
"186",Feb 2019,"Melanoma","New cancer diagnoses (observed)","Stage at diagnosis","Stage 2",186,186,0,0
"187",Feb 2019,"Melanoma","New cancer diagnoses (observed)","Stage at diagnosis","Stage 4",24,24,0,0
"188",Feb 2019,"Multiple myeloma","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",92,NA,NA,NA
"189",Feb 2019,"Multiple myeloma","New cancer diagnoses (observed)","Route to Diagnosis","TWW",103,NA,NA,NA
"190",Feb 2019,"Myeloid leukaemia","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",49,NA,NA,NA
"191",Feb 2019,"Myeloid leukaemia","New cancer diagnoses (observed)","Route to Diagnosis","TWW",25,NA,NA,NA
"192",Feb 2019,"Nasal cavity, sinuses and larynx","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",55,NA,NA,NA
"193",Feb 2019,"Nasal cavity, sinuses and larynx","New cancer diagnoses (observed)","Route to Diagnosis","TWW",68,NA,NA,NA
"194",Feb 2019,"Non-Hodgkin lymphoma","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",163,NA,NA,NA
"195",Feb 2019,"Non-Hodgkin lymphoma","New cancer diagnoses (observed)","Route to Diagnosis","TWW",254,NA,NA,NA
"196",Feb 2019,"Non-Hodgkin lymphoma","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",50,NA,NA,NA
"197",Feb 2019,"Non-Hodgkin lymphoma","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",75,NA,NA,NA
"198",Feb 2019,"Non-Hodgkin lymphoma","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",359,NA,NA,NA
"199",Feb 2019,"Oesophageal","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",103,NA,NA,NA
"200",Feb 2019,"Oesophageal","New cancer diagnoses (observed)","Route to Diagnosis","Other",87,NA,NA,NA
"201",Feb 2019,"Oesophageal","New cancer diagnoses (observed)","Stage at diagnosis","Stage 2",84,NA,NA,NA
"202",Feb 2019,"Oesophageal","New cancer diagnoses (observed)","Stage at diagnosis","Stage 4",167,NA,NA,NA
"203",Feb 2019,"Oesophago-gastric","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",167,165,2,0.01
"204",Feb 2019,"Oesophago-gastric","New cancer diagnoses (observed)","Route to Diagnosis","TWW",398,397,1,0
"205",Feb 2019,"Oesophago-gastric","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",58,58,0,0
"206",Feb 2019,"Oesophago-gastric","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",201,201,0,0
"207",Feb 2019,"Oesophago-gastric","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",272,240,32,0.13
"208",Feb 2019,"Other malignant neoplasms","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",NA,NA,NA,NA
"209",Feb 2019,"Other malignant neoplasms","New cancer diagnoses (observed)","Route to Diagnosis","Other",NA,NA,NA,NA
"210",Feb 2019,"Other malignant neoplasms","New cancer diagnoses (observed)","Stage at diagnosis","Stage 2",NA,NA,NA,NA
"211",Feb 2019,"Other malignant neoplasms","New cancer diagnoses (observed)","Stage at diagnosis","Stage 4",NA,NA,NA,NA
"212",Feb 2019,"Ovarian","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",91,NA,NA,NA
"213",Feb 2019,"Ovarian","New cancer diagnoses (observed)","Route to Diagnosis","TWW",153,NA,NA,NA
"214",Feb 2019,"Ovarian","New cancer diagnoses (observed)","Stage at diagnosis","Stage 2",16,NA,NA,NA
"215",Feb 2019,"Ovarian","New cancer diagnoses (observed)","Stage at diagnosis","Stage 4",63,NA,NA,NA
"216",Feb 2019,"Pancreatic","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",120,NA,NA,NA
"217",Feb 2019,"Pancreatic","New cancer diagnoses (observed)","Route to Diagnosis","TWW",151,NA,NA,NA
"218",Feb 2019,"Pancreatic","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",32,NA,NA,NA
"219",Feb 2019,"Pancreatic","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",55,NA,NA,NA
"220",Feb 2019,"Pancreatic","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",279,NA,NA,NA
"221",Feb 2019,"Prostate","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",221,210,11,0.05
"222",Feb 2019,"Prostate","New cancer diagnoses (observed)","Route to Diagnosis","Other",316,315,1,0
"223",Feb 2019,"Prostate","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",1038,1037,1,0
"224",Feb 2019,"Prostate","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",866,866,0,0
"225",Feb 2019,"Prostate","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",902,887,15,0.02
"226",Feb 2019,"Stomach","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",87,NA,NA,NA
"227",Feb 2019,"Stomach","New cancer diagnoses (observed)","Route to Diagnosis","Other",48,NA,NA,NA
"228",Feb 2019,"Stomach","New cancer diagnoses (observed)","Stage at diagnosis","Stage 2",41,NA,NA,NA
"229",Feb 2019,"Stomach","New cancer diagnoses (observed)","Stage at diagnosis","Stage 4",67,NA,NA,NA
"230",Feb 2019,"Testicular","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",17,NA,NA,NA
"231",Feb 2019,"Testicular","New cancer diagnoses (observed)","Route to Diagnosis","Other",27,NA,NA,NA
"232",Feb 2019,"Unknown","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",77,82,-5,-0.06
"233",Feb 2019,"Unknown","New cancer diagnoses (observed)","Route to Diagnosis","TWW",86,93,-7,-0.08
"234",Feb 2019,"Upper GI excl OG","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",289,276,13,0.05
"235",Feb 2019,"Upper GI excl OG","New cancer diagnoses (observed)","Route to Diagnosis","TWW",282,280,2,0.01
"236",Feb 2019,"Upper GI excl OG","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",32,32,0,0
"237",Feb 2019,"Upper GI excl OG","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",55,55,0,0
"238",Feb 2019,"Upper GI excl OG","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",279,233,46,0.2
"239",Feb 2019,"Urological excl prostate","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",319,294,25,0.09
